id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
2400,0052055210,0068,2015-08-09T09:00:00.000,12.9,BOTANA - AUT,NARIÑO,PASTO,PATÍA,1.16,-77.27880556,Temp Aire 2 m,°C
2401,0032075501,0068,2016-06-27T20:45:00.000,21.1,LEJANIAS  - AUT,META,LEJANÍAS,GUAVIARE,3.51995,-74.08978611,Temp Aire 2 m,°C
2402,0023085270,0068,2016-02-23T11:00:00.000,21.3,APTO J.M CORDOVA TX GPRS,ANTIOQUIA,RIONEGRO,MEDIO MAGDALENA,6.169,-75.426,Temp Aire 2 m,°C
2403,0026095320,0068,2005-11-06T18:00:00.000,23.9,EL VINCULO - AUT,VALLE DEL CAUCA,BUGA,CAUCA,3.834805556,-76.30000556,Temp Aire 2 m,°C
2404,0021205502,0068,2018-11-25T18:55:00.000,19.28872,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544997222,-74.44055556,Temp Aire 2 m,°C
2405,0026155503,0068,2019-05-21T08:15:00.000,18.88596,PLANALTO  - AUT,CALDAS,MANIZALES,CAUCA,4.989722222,-75.58971944,Temp Aire 2 m,°C
2406,0023085501,0068,2017-12-11T04:25:00.000,17.52206,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
2407,2120700038,0068,2019-08-01T19:21:00.000,16,SAN FRANCISCO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.562,-74.149,Temp Aire 2 m,°C
2408,0026145503,0068,2018-10-07T10:25:00.000,23.90153,ANSERMA  - AUT,CALDAS,ANSERMA,CAUCA,5.231330556,-75.77961667,Temp Aire 2 m,°C
2409,0016025501,0068,2018-03-31T12:40:00.000,23.04743,CUCUTILLA  - AUT,NORTE DE SANTANDER,CUCUTILLA,CATATUMBO,7.519455556,-72.79790278,Temp Aire 2 m,°C
2410,0036015501,0068,2017-09-18T15:25:00.000,27.1,TAMARA  - AUT,CASANARE,TÁMARA,CASANARE,5.872219444,-72.11944167,Temp Aire 2 m,°C
2411,0021206810,0068,2012-12-30T04:20:00.000,12.6,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
2412,0021206990,0068,2005-05-01T06:00:00.000,10.9,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691416667,-74.209,Temp Aire 2 m,°C
2413,0031095030,0068,2009-08-29T01:00:00.000,21.9,PTO INIRIDA,GUAINÍA,INÍRIDA,INÍRIDA,3.868,-67.932,Temp Aire 2 m,°C
2414,0026125501,0068,2017-03-15T10:25:00.000,21.2,GENOVA  - AUT,QUINDÍO,GÉNOVA,CAUCA,4.204416667,-75.76866667,Temp Aire 2 m,°C
2415,0035085080,0068,2005-04-01T11:00:00.000,22.8,LA CAPILLA - AUT,BOYACÁ,LA CAPILLA,META,5.099194444,-73.436,Temp Aire 2 m,°C
2416,0011025501,0068,2017-06-02T12:35:00.000,23.93353,CARMEN DE ATRATO  - AUT,CHOCO,EL CARMEN,ATRATO - DARIÉN,5.888719444,-76.14516667,Temp Aire 2 m,°C
2417,0029065130,0068,2009-06-09T08:00:00.000,30.1,LA GRAN VIA - AUT,MAGDALENA,ZONA BANANERA,BAJO MAGDALENA,10.85,-74.13333333,Temp Aire 2 m,°C
