id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
1506,0022045502,0068,2018-06-17T02:55:00.000,17.08651,EL RUBY  - AUT,TOLIMA,PLANADAS,SALDAÑA,3.95,-75.66666667,Temp Aire 2 m,°C
1507,0026115501,0068,2017-10-24T16:30:00.000,19.13904,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Temp Aire 2 m,°C
1508,0026185501,0068,2017-10-05T23:00:00.000,15.10679,SONSON  - AUT,ANTIOQUIA,SONSÓN,CAUCA,5.677719444,-75.34780556,Temp Aire 2 m,°C
1509,0021185501,0068,2018-05-08T23:00:00.000,18.03594,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266666667,-75.28305556,Temp Aire 2 m,°C
1510,0026135502,0068,2019-04-15T00:50:00.000,16.742,EL JAZMIN  - AUT,RISARALDA,SANTA ROSA DE CABAL,CAUCA,4.911944444,-75.62416389,Temp Aire 2 m,°C
1511,0021045501,0068,2018-12-23T21:30:00.000,16.72602,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041941667,-76.01191667,Temp Aire 2 m,°C
1512,0021202180,0068,2012-05-09T13:25:00.000,17.4,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.543,-74.156,Temp Aire 2 m,°C
1513,0016015502,0068,2017-05-12T17:10:00.000,20.3,BLONAY  - AUT,NORTE DE SANTANDER,CHINÁCOTA,CATATUMBO,7.564997222,-72.62110833,Temp Aire 2 m,°C
1514,0021205519,0068,2019-05-17T21:40:00.000,10.841,SAN FORTUNATO  - AUT,CUNDINAMARCA,SIBATÉ,ALTO MAGDALENA,4.452,-74.272,Temp Aire 2 m,°C
1515,0026145501,0068,2018-05-26T04:25:00.000,16.42076,APIA  - AUT,RISARALDA,APÍA,CAUCA,5.105055556,-75.93305556,Temp Aire 2 m,°C
1516,0036015501,0068,2018-10-15T04:35:00.000,19.33951,TAMARA  - AUT,CASANARE,TÁMARA,CASANARE,5.872219444,-72.11944167,Temp Aire 2 m,°C
1517,0052025090,0068,2015-03-01T15:59:05.000,0,LA SIERRA - AUT,CAUCA,LA SIERRA,PATÍA,2.193833333,-76.75033333,Temp Aire 2 m,°C
1518,0021202220,0068,2013-11-20T23:15:00.000,17.5,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
1519,0052015501,0068,2017-12-22T22:15:00.000,17.63343,BALBOA  - AUT,CAUCA,BALBOA,PATÍA,2.125191667,-77.19266667,Temp Aire 2 m,°C
1520,0028045501,0068,2018-10-25T16:50:00.000,22.99033,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,CESAR,10.42166667,-73.57471944,Temp Aire 2 m,°C
1521,0029004520,0068,2018-09-24T21:00:00.000,28.6,ESCUELA NAVAL BARRANQUILLA  - AUT,ATLANTICO,BARRANQUILLA,BAJO MAGDALENA,11.00638889,-74.785,Temp Aire 2 m,°C
1522,0023085501,0068,2017-10-10T19:40:00.000,21.0273,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
1523,0024015501,0068,2018-07-01T15:05:00.000,21.58195,BERTHA  - AUT,BOYACÁ,MONIQUIRÁ,SOGAMOSO,5.882777778,-73.57333056,Temp Aire 2 m,°C
1524,0021202240,0068,2015-05-06T13:30:00.000,22.64,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.05,Temp Aire 2 m,°C
1525,0028025120,0068,2015-07-21T16:00:00.000,17.7,SERRANIA DEL PERIJA  - AUT,CESAR,AGUSTÍN CODAZZI,CESAR,10.02908333,-73.04619444,Temp Aire 2 m,°C
1526,0026175502,0068,2019-06-10T17:40:00.000,24.70696,LA CRISTALINA  - AUT,ANTIOQUIA,TÁMESIS,CAUCA,5.7,-75.65999722,Temp Aire 2 m,°C
1527,0023055502,0068,2017-12-21T01:40:00.000,16.96155,VILLARAZ  - AUT,CALDAS,PENSILVANIA,MEDIO MAGDALENA,5.383333333,-75.06638889,Temp Aire 2 m,°C
1528,0053115502,0068,2018-07-10T19:40:00.000,18.86783,JULIO FERNANDEZ  - AUT,VALLE DEL CAUCA,RESTREPO,TAPAJE - DAGUA - DIRECTOS,3.809163889,-76.53305556,Temp Aire 2 m,°C
1529,0048015010,0068,2017-09-21T18:00:00.000,27.5,APTO VASQUEZ COBO TX GPRS/GOES,AMAZONAS,LETICIA,<nil>,-4.194,-69.941,Temp Aire 2 m,°C
1530,0024015503,0068,2017-12-23T04:00:00.000,14.80031,CONFINES  - AUT,SANTANDER,CONFINES,SOGAMOSO,6.373027778,-73.20760833,Temp Aire 2 m,°C
1531,0023065501,0068,2016-06-23T13:40:00.000,21.3,PACHO  - AUT,CUNDINAMARCA,PACHO,MEDIO MAGDALENA,5.129127778,-74.15769722,Temp Aire 2 m,°C
1532,0029015000,0068,2013-11-06T20:00:00.000,26.5,EL GUAMO - AUT,BOLIVAR,EL GUAMO,BAJO MAGDALENA,10.06444444,-74.85222222,Temp Aire 2 m,°C
1533,0023085501,0068,2019-06-05T02:00:00.000,18.91683,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
1534,0021215150,0068,2007-04-16T20:00:00.000,2.7,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOÁTEGUI,ALTO MAGDALENA,4.670777778,-75.32777778,Temp Aire 2 m,°C
1535,0021015050,0068,2013-12-22T03:00:00.000,14.1,PURACE  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.925916667,-76.42755556,Temp Aire 2 m,°C
1536,0022025040,0068,2012-07-31T16:00:00.000,5.1,EL DIABLO,CAUCA,PÁEZ (BELALCÁZAR),ALTO MAGDALENA,2.978,-76.064,Temp Aire 2 m,°C
1537,0027015290,0068,2019-06-18T21:00:00.000,21.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C
1538,0023195230,0068,2018-10-29T11:00:00.000,26.4,NEOMUNDO - AUT,SANTANDER,BUCARAMANGA,MEDIO MAGDALENA,7.102611111,-73.10730556,Temp Aire 2 m,°C
1539,0024015503,0068,2018-09-13T14:10:00.000,23.84919,CONFINES  - AUT,SANTANDER,CONFINES,SOGAMOSO,6.373027778,-73.20760833,Temp Aire 2 m,°C
1540,0026145501,0068,2018-08-16T23:20:00.000,17.63441,APIA  - AUT,RISARALDA,APÍA,CAUCA,5.105055556,-75.93305556,Temp Aire 2 m,°C
1541,0048015040,0068,2011-11-29T09:00:00.000,29.1,PTO NARIÑO,AMAZONAS,PUERTO NARIÑO,AMAZONAS - DIRECTOS,-3.78,-70.363,Temp Aire 2 m,°C
1542,2120000105,0068,2019-06-26T04:32:00.000,9.39,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
1543,0021202170,0068,2011-05-05T15:55:00.000,17.2,SIERRA MORENA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.567,-74.167,Temp Aire 2 m,°C
1544,0026185501,0068,2018-08-16T20:35:00.000,19.9931,SONSON  - AUT,ANTIOQUIA,SONSÓN,CAUCA,5.677719444,-75.34780556,Temp Aire 2 m,°C
1545,0026135300,0068,2018-08-23T21:00:00.000,15.6,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,CAUCA,4.761916667,-75.74491667,Temp Aire 2 m,°C
1546,0021206980,0068,2015-04-21T18:00:00.000,11.1,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784277778,-73.87080556,Temp Aire 2 m,°C
1547,0026145505,0068,2017-09-21T20:30:00.000,21.45357,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,CAUCA,4.979219444,-75.83555556,Temp Aire 2 m,°C
1548,0021055501,0068,2019-05-09T14:45:00.000,22.42912,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Temp Aire 2 m,°C
1549,0026145503,0068,2018-08-23T10:35:00.000,26.43777,ANSERMA  - AUT,CALDAS,ANSERMA,CAUCA,5.231330556,-75.77961667,Temp Aire 2 m,°C
1550,0021206920,0068,2008-05-16T03:00:00.000,5.8,VILLA TERESA - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.35,-74.15,Temp Aire 2 m,°C
1551,0053075020,0068,2011-04-27T09:00:00.000,22.1,EL DIVISO - AUT,CAUCA,ARGELIA,TAPAJE - DAGUA - DIRECTOS,2.311416667,-77.25877778,Temp Aire 2 m,°C
1552,0021206990,0068,2019-05-04T15:00:00.000,19.7,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691416667,-74.209,Temp Aire 2 m,°C
1553,0044015060,0068,2016-04-28T14:00:00.000,21.8,ACUEDUCTO MOCOA - AUT,PUTUMAYO,MOCOA,CAQUETÁ,1.157333333,-76.65183333,Temp Aire 2 m,°C
1554,0021015060,0068,2019-07-27T15:00:00.000,24,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221111111,-76.11888889,Temp Aire 2 m,°C
1555,0016055501,0068,2016-08-15T07:45:00.000,19.1,GABRIEL MARIA  - AUT,NORTE DE SANTANDER,CONVENCIÓN,CATATUMBO,8.412497222,-73.33944167,Temp Aire 2 m,°C
1556,0026155270,0068,2015-01-23T19:00:00.000,10.3,SAN ANTONIO CALDAS - AUT,CALDAS,VILLAMARIA,CAUCA,4.886611111,-75.42897222,Temp Aire 2 m,°C
1557,0052045080,0068,2018-12-26T05:00:00.000,12.3,UNIVERSIDAD DE NARINO  - AUT,NARIÑO,PASTO,PATÍA,1.225111111,-77.28338889,Temp Aire 2 m,°C
1558,0024035501,0068,2017-05-12T01:10:00.000,16.5,ARATOCA  - AUT,SANTANDER,ARATOCA,SOGAMOSO,6.70155,-73.06749167,Temp Aire 2 m,°C
1559,0021015501,0068,2019-03-02T13:00:00.000,24.99969,PITALITO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,1.777527778,-76.19163889,Temp Aire 2 m,°C
1560,0021195170,0068,2008-04-21T20:00:00.000,10.4,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993611111,-74.39805556,Temp Aire 2 m,°C
1561,0025025280,0068,2017-05-10T17:00:00.000,28.6,EL TESORO IDEAM  - AUT,SUCRE,MORROA,BAJO MAGDALENA- CAUCA -SAN JORGE,9.357083333,-75.28925,Temp Aire 2 m,°C
1562,0026015040,0068,2018-11-05T17:00:00.000,13.7,ARRAYANALES - AUT,CAUCA,POPAYÁN,CAUCA,2.448041111,-76.43574694,Temp Aire 2 m,°C
1563,0024055070,0068,2015-10-02T18:00:00.000,22.1,SAN  VICENTE DE CHUCURI  - AUT,SANTANDER,SAN VICENTE DE CHUCURÍ,MEDIO MAGDALENA,6.823388889,-73.47205556,Temp Aire 2 m,°C
1564,0026145504,0068,2019-04-05T18:30:00.000,19.07089,OSPIRMA  - AUT,RISARALDA,GUÁTICA,CAUCA,5.325552778,-75.812775,Temp Aire 2 m,°C
1565,0054077210,0068,2017-09-17T11:00:00.000,26.9,JUANCHACO - AUT,VALLE DEL CAUCA,BUENAVENTURA,SAN JUÁN,3.925147222,-77.34900556,Temp Aire 2 m,°C
1566,0021065501,0068,2018-06-06T17:00:00.000,24.78257,JORGE VILLAMIL  - AUT,HUILA,GIGANTE,ALTO MAGDALENA,2.325552778,-75.50972222,Temp Aire 2 m,°C
1567,0021202200,0068,2012-04-18T23:45:00.000,13.5,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",META,4.575,-74.072,Temp Aire 2 m,°C
1568,0021206780,0068,2013-12-08T02:40:00.000,14.3,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.317,Temp Aire 2 m,°C
1569,0021035501,0068,2018-01-03T23:45:00.000,15.85065,ACEVEDO  - AUT,HUILA,ACEVEDO,ALTO MAGDALENA,1.763191667,-75.93224722,Temp Aire 2 m,°C
1570,0026065501,0068,2017-07-16T01:40:00.000,14.2722,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
1571,0021035501,0068,2018-02-03T04:35:00.000,18.86208,ACEVEDO  - AUT,HUILA,ACEVEDO,ALTO MAGDALENA,1.763191667,-75.93224722,Temp Aire 2 m,°C
1572,0021055501,0068,2019-05-17T13:50:00.000,22.59673,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Temp Aire 2 m,°C
1573,0026157170,0068,2011-01-18T10:00:00.000,4.7,CONEJERAS2 - AUT,CALDAS,VILLAMARIA,CAUCA,4.820388889,-75.37713889,Temp Aire 2 m,°C
1574,0021045501,0068,2018-11-09T12:05:00.000,26.02363,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041941667,-76.01191667,Temp Aire 2 m,°C
1575,0026175501,0068,2016-07-23T13:45:00.000,24.1,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Temp Aire 2 m,°C
1576,0021206810,0068,2016-06-03T13:15:00.000,20.2,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
1577,0026135503,0068,2017-03-08T00:45:00.000,18.1,NARANJAL  - AUT,CALDAS,CHINCHINA,CAUCA,4.971944444,-75.65221944,Temp Aire 2 m,°C
1578,0024015508,0068,2019-05-21T09:40:00.000,15.338,HACIENDA LA MESA  - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.308,-74.282,Temp Aire 2 m,°C
1579,0016015130,0068,2012-08-12T17:00:00.000,16.7,ALCALDIA DE HERRAN  - AUT,NORTE DE SANTANDER,HERRÁN,CATATUMBO,7.506722222,-72.48536111,Temp Aire 2 m,°C
1580,0021202180,0068,2011-05-01T19:10:00.000,14.9,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.543,-74.156,Temp Aire 2 m,°C
1581,0012015110,0068,2005-01-01T16:00:00.000,33.6,CHIGORODO - AUT,ANTIOQUIA,CHIGORODÓ,CARIBE - LITORAL,7.671138889,-76.69405556,Temp Aire 2 m,°C
1582,0026155505,0068,2019-01-03T01:15:00.000,16.97136,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Temp Aire 2 m,°C
1583,0021085501,0068,2018-04-29T04:25:00.000,16.85514,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Temp Aire 2 m,°C
1584,0035095120,0068,2016-10-18T11:00:00.000,16.5,AQUITANIA - AUT,BOYACÁ,AQUITANIA,META,5.556638889,-72.88175,Temp Aire 2 m,°C
1585,0026065501,0068,2016-05-30T21:00:00.000,19.8,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
1586,2120000105,0068,2019-06-05T00:06:00.000,9.8,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
1587,0024025501,0068,2019-07-14T00:15:00.000,16.91852,ALBERTO SANTOS  - AUT,SANTANDER,SOCORRO,SOGAMOSO,6.493052778,-73.22111111,Temp Aire 2 m,°C
1588,0024035390,0068,2008-09-25T06:00:00.000,6,PARAMO ALMORZADERO  - AUT,SANTANDER,CERRITO,SOGAMOSO,6.945388889,-72.69633333,Temp Aire 2 m,°C
1589,0029045000,0068,2014-02-15T02:00:00.000,24.2,SABANALARGA TX GPRS,ATLÁNTICO,SABANALARGA,BAJO MAGDALENA,10.637,-74.919,Temp Aire 2 m,°C
1590,2120000102,0068,2019-02-27T22:42:00.000,13.59,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.635,-74.205,Temp Aire 2 m,°C
1591,0029035000,0068,2017-08-15T18:00:00.000,29.7,SINCERIN  - AUT,BOLIVAR,ARJONA,BAJO MAGDALENA,10.14258333,-75.27827778,Temp Aire 2 m,°C
1592,0021195170,0068,2006-12-01T09:00:00.000,13.6,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993611111,-74.39805556,Temp Aire 2 m,°C
1593,0021202220,0068,2012-06-12T13:30:00.000,18.3,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
1594,2120000106,0068,2019-08-16T09:23:00.000,9.61,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.512,-74.164,Temp Aire 2 m,°C
1595,0021208480,0068,2015-05-15T00:35:00.000,16.4,KENNEDY - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.15,Temp Aire 2 m,°C
1596,0021045501,0068,2019-07-22T06:10:00.000,16.82565,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041941667,-76.01191667,Temp Aire 2 m,°C
1597,0021202220,0068,2011-07-31T21:35:00.000,14.4,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
1598,0029065501,0068,2018-01-09T21:05:00.000,19.87842,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,BAJO MAGDALENA,10.89785833,-74.08156667,Temp Aire 2 m,°C
1599,0023065503,0068,2019-02-08T11:30:00.000,21.35983,EL MIRADOR  - AUT,CUNDINAMARCA,SASAIMA,MEDIO MAGDALENA,4.95,-74.4,Temp Aire 2 m,°C
1600,0026065501,0068,2016-08-24T16:00:00.000,25,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
1601,0021205509,0068,2019-05-20T12:30:00.000,10.727,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
1602,0052025080,0068,2016-07-11T14:00:00.000,36.6,ESTRECHO PATIA  - AUT,CAUCA,PATÍA (EL BORDO),PATÍA,1.962777778,-77.12027778,Temp Aire 2 m,°C
1603,0026125504,0068,2017-12-18T12:25:00.000,28.57444,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,CAUCA,4.395555556,-75.73416667,Temp Aire 2 m,°C
1604,0026125502,0068,2017-02-18T22:05:00.000,17.6,CAICEDONIA  - AUT,VALLE DEL CAUCA,CAICEDONIA,CAUCA,4.297558333,-75.86396111,Temp Aire 2 m,°C
1605,0023055502,0068,2016-09-05T16:00:00.000,21.9,VILLARAZ  - AUT,CALDAS,PENSILVANIA,MEDIO MAGDALENA,5.383333333,-75.06638889,Temp Aire 2 m,°C
1606,0026125061,0068,2019-03-30T22:00:00.000,23.6,APTO EL EDEN,QUINDÍO,ARMENIA,CAUCA,4.455,-75.766,Temp Aire 2 m,°C
1607,0035025110,0068,2016-10-03T04:00:00.000,21.1,LA LIBERTAD - AUT,META,VILLAVICENCIO,META,4.057361111,-73.46791667,Temp Aire 2 m,°C
1608,0026135501,0068,2018-07-03T14:15:00.000,28.51042,EL PILAMO  - AUT,RISARALDA,PEREIRA,CAUCA,4.868333333,-75.79333333,Temp Aire 2 m,°C
1609,0026125504,0068,2018-04-08T20:40:00.000,22.11802,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,CAUCA,4.395555556,-75.73416667,Temp Aire 2 m,°C
1610,0021202200,0068,2013-09-12T13:00:00.000,18,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",META,4.575,-74.072,Temp Aire 2 m,°C
1611,0029065501,0068,2017-08-02T14:05:00.000,23.20197,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,BAJO MAGDALENA,10.89785833,-74.08156667,Temp Aire 2 m,°C
1612,0021115501,0068,2019-02-19T05:25:00.000,18.27114,TELLO  - AUT,HUILA,TELLO,ALTO MAGDALENA,2.960666667,-75.02849722,Temp Aire 2 m,°C
1613,0016025501,0068,2018-08-02T07:15:00.000,16.4042,CUCUTILLA  - AUT,NORTE DE SANTANDER,CUCUTILLA,CATATUMBO,7.519455556,-72.79790278,Temp Aire 2 m,°C
1614,0026055110,0068,2016-12-26T03:20:00.000,0,LA INDEPENDENCIA - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.185361111,-76.56930556,Temp Aire 2 m,°C
1615,0023055501,0068,2017-06-11T09:30:00.000,22.27257,SANTA HELENA  - AUT,CALDAS,MARQUETALIA,MEDIO MAGDALENA,5.317497222,-74.99610833,Temp Aire 2 m,°C
1616,0023085501,0068,2018-12-19T07:40:00.000,19.74623,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
1617,0021055501,0068,2018-10-17T21:10:00.000,16.62439,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Temp Aire 2 m,°C
1618,0021201200,0068,2015-06-11T01:10:00.000,8.58,ESC LA UNION - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.343,-74.184,Temp Aire 2 m,°C
1619,0021202220,0068,2010-12-28T06:40:00.000,13.9,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
1620,2120000104,0068,2019-06-28T11:27:00.000,15.83,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
1621,2120700037,0068,2019-02-24T19:55:00.000,14.98,CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.556,-74.125,Temp Aire 2 m,°C
1622,0021202170,0068,2016-05-07T10:35:00.000,19.2,SIERRA MORENA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.567,-74.167,Temp Aire 2 m,°C
1623,2120000102,0068,2019-07-26T00:56:00.000,11.8,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.635,-74.205,Temp Aire 2 m,°C
1624,0026115501,0068,2016-08-28T12:40:00.000,29.3,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Temp Aire 2 m,°C
1625,0026125504,0068,2017-09-03T06:45:00.000,17.83884,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,CAUCA,4.395555556,-75.73416667,Temp Aire 2 m,°C
1626,0027015290,0068,2008-12-27T00:00:00.000,19.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C
1627,0026115501,0068,2017-08-05T09:25:00.000,23.61787,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Temp Aire 2 m,°C
1628,0024035430,0068,2012-09-20T13:00:00.000,22.2,TUNGUAVITA - AUT,BOYACÁ,PAIPA,SOGAMOSO,5.745916667,-73.11636111,Temp Aire 2 m,°C
1629,0026165502,0068,2018-05-16T21:50:00.000,16.63485,JARDIN  - AUT,ANTIOQUIA,JARDÍN,CAUCA,5.6,-75.84972222,Temp Aire 2 m,°C
1630,0021205513,0068,2019-04-04T11:40:00.000,20.131,LA RAMADA  - AUT,CUNDINAMARCA,FUNZA,ALTO MAGDALENA,4.505,-74.184,Temp Aire 2 m,°C
1631,0021015070,0068,2008-09-13T14:00:00.000,16.6,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675833,-76.106841,Temp Aire 2 m,°C
1632,0021015501,0068,2018-12-08T00:50:00.000,14.81769,PITALITO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,1.777527778,-76.19163889,Temp Aire 2 m,°C
1633,0026145506,0068,2019-08-16T14:50:00.000,28.3641,FILO BONITO  - AUT,CALDAS,BELALCAZAR,CAUCA,4.986358333,-75.84574722,Temp Aire 2 m,°C
1634,2120000104,0068,2019-05-30T14:00:00.000,18.17,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
1635,2120000104,0068,2019-04-19T03:22:00.000,11.01,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
1636,0026065501,0068,2017-07-01T06:10:00.000,17.56458,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
1637,0023055502,0068,2018-03-14T18:30:00.000,20.20619,VILLARAZ  - AUT,CALDAS,PENSILVANIA,MEDIO MAGDALENA,5.383333333,-75.06638889,Temp Aire 2 m,°C
1638,0021202170,0068,2012-03-14T03:35:00.000,13.6,SIERRA MORENA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.567,-74.167,Temp Aire 2 m,°C
1639,0026185501,0068,2018-02-24T16:15:00.000,23.0091,SONSON  - AUT,ANTIOQUIA,SONSÓN,CAUCA,5.677719444,-75.34780556,Temp Aire 2 m,°C
1640,0021015070,0068,2013-09-24T20:00:00.000,14.7,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675833,-76.106841,Temp Aire 2 m,°C
1641,0052055150,0068,2017-03-03T10:00:00.000,5.2,CERRO PARAMO  - AUT,NARIÑO,PUERRES,PATÍA,0.843111111,-77.38880556,Temp Aire 2 m,°C
1642,0021209940,0068,2011-08-12T14:40:00.000,20.4,GRAVILLERAS - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.533,-74.117,Temp Aire 2 m,°C
1643,0021065501,0068,2019-03-24T05:10:00.000,18.85367,JORGE VILLAMIL  - AUT,HUILA,GIGANTE,ALTO MAGDALENA,2.325552778,-75.50972222,Temp Aire 2 m,°C
1644,0052055170,0068,2017-02-09T10:00:00.000,22.1,LA JOSEFINA - AUT,NARIÑO,CONTADERO,PATÍA,0.930305556,-77.49119444,Temp Aire 2 m,°C
1645,0021205518,0068,2019-03-07T07:30:00.000,8.621,SALITRE  - AUT,CUNDINAMARCA,TAUSA,ALTO MAGDALENA,5.171,-74.016,Temp Aire 2 m,°C
1646,0035025080,0068,2016-02-13T18:00:00.000,10.8,PNN CHINGAZA - AUT,CUNDINAMARCA,LA CALERA,META,4.661,-73.82733333,Temp Aire 2 m,°C
1647,0026125502,0068,2017-11-14T01:20:00.000,18.16367,CAICEDONIA  - AUT,VALLE DEL CAUCA,CAICEDONIA,CAUCA,4.297558333,-75.86396111,Temp Aire 2 m,°C
